,year,Br (nT),Btheta (nT),Bphi (nT),BN (nT),BE (nT),BD (nT),D (deg),H (nT),I (deg),F (nT)
0,2020.0,453.81,-24433.62,-268.9,5765.43,970.7,-23729.67,-0.63,24435.1,-1.06,24439.31
1,2021.0,441.07,-24438.97,-219.41,5731.51,1007.56,-23741.12,-0.51,24439.96,-1.03,24443.94
2,2022.0,428.32,-24444.33,-169.92,5697.59,1044.42,-23752.56,-0.4,24444.92,-1.0,24448.67
3,2023.0,415.58,-24449.68,-120.43,5663.67,1081.28,-23764.0,-0.28,24449.98,-0.97,24453.51
4,2024.0,402.83,-24455.04,-70.94,5629.75,1118.14,-23775.44,-0.17,24455.14,-0.94,24458.46
5,2025.0,390.08,-24460.39,-21.45,5595.83,1155.0,-23786.89,-0.05,24460.4,-0.91,24463.51
