,lat,long,h,Bx,By,Bz,U,g1,g2,g3
0,0.0,5.691221950616577e-07,-6335.438600027454,21607.580588765235,-1866.0914657746516,-10845.579179053168,57978972.111383945,,,
1,-1.4031074727813639e-14,5.691221950616577e-07,-6335.4386031063395,21607.580588765235,-1866.0914657746516,-10845.579179053168,57978972.111383945,-1282.8531947003398,7399744330356.057,-8.43736914804464
2,3.8095154470445545,0.06964587988927079,500.0007317674372,21640.01062736243,-1861.1358728064877,-10791.286568967887,57978972.29562386,-0.009780462297637876,-0.027347143811637664,-8.437363649376802
3,11.428591145026115,0.2077044779461746,500.00098254051045,21704.63933349227,-1851.2167467309894,-10682.19697360431,57978972.010352045,-0.029417237388102216,-0.009178653507551074,-8.43731808960331
4,22.857475441225507,0.40714935476538167,500.00178564770977,21800.990135856762,-1836.3281394620253,-10517.303823045995,57978969.948208,-0.05887276906196997,-0.0046409025923253135,-8.437163339703666
5,38.09685911381747,0.6466048909405353,500.0034380587622,21928.31365348579,-1816.4848893434894,-10295.105158691244,57978964.14836803,-0.09814786367423643,-0.0028348385706281594,-8.436795686523448
6,57.14790663429031,0.8801099804809834,500.00577236708796,22085.547010983097,-1791.7459849208055,-10013.622418730229,57978951.99663732,-0.1472432574175885,-0.0019449576699401725,-8.436076799821915
7,80.01155014846925,1.0311749101860344,500.00766242980626,22271.26426802187,-1762.2311956845126,-9670.444615372484,57978930.226225294,-0.2061569679073322,-0.001449107995406426,-8.434833733841991
8,73.31312406391176,1.0018329299120847,500.00727074305814,22217.1984684387,-1770.8570423109054,-9771.585932386597,57978937.427122414,-0.1888977922652685,-0.0015611492969980797,-8.43524089008475
9,42.82980133882609,0.7090368870495487,500.0039889887403,21967.576185629678,-1810.3363773681922,-10225.556401798221,57978961.66573289,-0.11034525220837181,-0.002537794523181897,-8.436643993616514
10,8.541845239479448,0.15116241064862693,500.00084521940335,21680.18356159135,-1854.9849466155044,-10723.605824381806,57978972.258674495,-0.02197720675922,-0.012248065234782515,-8.437340785040401
