,lat,long,h,mag,geo
0,0.6713379597535278,1.2119453805844256,17085.35339189921,[563.77044603 -83.0256683   11.41132725],"(17002401.048917983, array([-8.49758442e-03, -1.96721382e-04, -7.25221082e-01]))"
1,0.6712600183825058,1.2120139274967041,17085.35422191678,[563.77041808 -83.02569317  11.40964216],"(17002401.140897196, array([-8.49659767e-03, -1.96712752e-04, -7.25221101e-01]))"
2,0.6596906159092691,1.2218969063573988,17085.472494324982,[563.76605775 -83.02943767  11.16029469],"(17002414.263063867, array([-8.35012819e-03, -1.95367824e-04, -7.25223923e-01]))"
3,0.634655103837362,1.2414551295411094,17085.698222875406,[563.75530503 -83.03787776  10.62563005],"(17002439.411734242, array([-8.03317884e-03, -1.92063799e-04, -7.25229650e-01]))"
4,0.5913187277096907,1.2703447674502713,17086.010698295657,[563.73311943 -83.05341215   9.7134756 ],"(17002474.56864721, array([-7.48454621e-03, -1.85317001e-04, -7.25238522e-01]))"
5,0.5194361386627665,1.3078161917923665,17086.377018200234,[563.6887773  -83.08115247   8.22862254],"(17002516.66423562, array([-6.57453103e-03, -1.72185815e-04, -7.25250940e-01]))"
6,0.3966910769555056,1.352141938603785,17086.750349606693,[563.59855901 -83.13230761   5.74636033],"(17002561.530614268, array([-5.02059580e-03, -1.47530057e-04, -7.25267198e-01]))"
7,0.1716923043538591,1.3988129388290895,17087.068533645128,[563.40561382 -83.23292049   1.29113717],"(17002603.84535743, array([-2.17158409e-03, -1.20271100e-04, -7.25284945e-01]))"
8,-0.25774968165591167,1.43482118011162,17087.25390233757,[562.98407505 -83.43588524  -7.06072022],"(17002637.02304039, array([ 3.26144917e-03,  1.26472562e-04, -7.25283689e-01]))"
9,-0.8872826581472077,1.4321004311766983,17087.21543178746,[562.28443408 -83.74530302 -19.13052359],"(17002653.12938961, array([ 1.12303359e-02,  2.93688623e-04, -7.25205376e-01]))"
10,-1.3746373006510617,1.3779835042606823,17086.85453062148,[561.67545452 -83.99497938 -28.31201224],"(17002643.692579173, array([ 1.73984705e-02,  4.26781547e-04, -7.25082715e-01]))"
11,-1.503703042003985,1.2909427707725891,17086.075735709786,[561.47137528 -84.0737251  -30.54170077],"(17002599.870322373, array([ 1.90322869e-02,  4.36369810e-04, -7.25037914e-01]))"
12,-1.357793904743719,1.1843984271930506,17084.803193928332,[561.59500967 -84.02017502 -27.46179985],"(17002511.599947467, array([ 1.71863868e-02,  3.63524425e-04, -7.25076536e-01]))"
13,-1.2676223903024046,1.0634602628186476,17083.002864518814,[561.63573184 -83.99597341 -25.4070896 ],"(17002368.082936406, array([ 1.60456204e-02,  3.06540187e-04, -7.25090463e-01]))"
14,-1.2061792269864169,0.9301511182223002,17080.708734352796,[561.62862273 -83.98717189 -23.86722879],"(17002159.74584958, array([ 1.52682414e-02,  2.56896101e-04, -7.25089494e-01]))"
15,-1.1608147127514759,0.7854082730378867,17078.048985494737,[561.58940431 -83.98716586 -22.60292351],"(17001878.378749106, array([ 1.46941672e-02,  2.10659777e-04, -7.25077363e-01]))"
16,-1.1249485294154482,0.629731268283141,17075.265245847757,[561.52601035 -83.99247148 -21.48962951],"(17001518.191594798, array([ 1.42401102e-02,  1.65876648e-04, -7.25055702e-01]))"
17,-1.09477465569027,0.46340949260542424,17072.715452616252,[561.44310778 -84.001067   -20.45527857],"(17001077.018358532, array([ 1.38578923e-02,  1.21531078e-04, -7.25025475e-01]))"
18,-1.0678178625501928,0.2866084072981447,17070.849620091114,[561.3441048  -84.01168127 -19.45294743],"(17000557.614980046, array([ 1.35161827e-02,  7.71090293e-05, -7.24987616e-01]))"
19,-1.0422016581721714,0.09940558858657744,17070.14949723547,[561.23220529 -84.02344577 -18.44697471],"(16999968.948515527, array([ 1.31912378e-02,  3.24132747e-05, -7.24943380e-01]))"
20,-1.0161675623967321,-0.09818563794319483,17071.02934422918,[561.11110587 -84.03567415 -17.40384573],"(16999327.325935252, array([ 1.28608203e-02, -1.24882562e-05, -7.24894578e-01]))"
21,-0.9875770617926154,-0.3061810132992462,17073.706769486984,[560.98565262 -84.04763362 -16.28278057],"(16998657.163497865, array([ 1.24979007e-02, -5.71987712e-05, -7.24843752e-01]))"
22,-0.9530426575481779,-0.5245497975199392,17078.068884833225,[560.86283943 -84.05813629 -15.01935529],"(16997991.15847995, array([ 1.20596675e-02, -1.00733127e-04, -7.24794357e-01]))"
23,-0.905700971728453,-0.7530301558571695,17083.576185567854,[560.75420428 -84.06448739 -13.48350785],"(16997369.60515094, array([ 1.14593644e-02, -1.40717490e-04, -7.24751072e-01]))"
24,-0.8273933184044739,-0.990551387257447,17089.25734895225,[560.68414964 -84.05882145 -11.33187333],"(16996838.610972997, array([ 1.04674032e-02, -1.70464922e-04, -7.24720781e-01]))"
25,-0.6468310210371234,-1.2322762418619289,17093.84293514494,[560.73393849 -84.00863398  -7.21695658],"(16996447.039339244, array([ 8.18231124e-03, -1.62954910e-04, -7.24716793e-01]))"
26,0.1853580751588371,-1.4315607219093176,17096.05598686974,[561.45222145 -83.65866569   9.24403515],"(16996241.97571997, array([-2.34552733e-03,  1.39272791e-05, -7.24741729e-01]))"
27,1.5423777981648117,-1.309424582051948,17095.02048466669,[562.63238044 -83.02356553  34.95966033],"(16996261.302266028, array([-1.95071862e-02,  4.40360420e-04, -7.24484404e-01]))"
28,1.2563902237749336,-1.0430088236568982,17090.67533740681,[562.57576283 -83.10830445  28.73882637],"(16996534.33868072, array([-1.58928570e-02,  2.82328007e-04, -7.24596093e-01]))"
29,1.1528157672941821,-0.7540764469656547,17084.020042208715,[562.68732524 -83.10974218  25.96647316],"(16997063.801258687, array([-1.45849109e-02,  1.84034986e-04, -7.24668804e-01]))"
30,1.0930350406952816,-0.4524753846669016,17077.00995691597,[562.86171943 -83.09139803  24.00288327],"(16997828.26454672, array([-1.38306648e-02,  1.00546844e-04, -7.24748826e-01]))"
31,1.0476686581581116,-0.14006291561635847,17072.00378148611,[563.07097093 -83.06600117  22.28834842],"(16998775.535476103, array([-1.32584968e-02,  2.30143636e-05, -7.24840340e-01]))"
32,1.0048729239552532,0.18280109612514997,17070.852501034045,[563.2975373  -83.03776517  20.59617437],"(16999822.41141153, array([-1.27184477e-02, -5.07446119e-05, -7.24939332e-01]))"
33,0.9545739654639638,0.5160763402760509,17073.95617858826,[563.52222941 -83.00982142  18.73264674],"(17000858.991172455, array([-1.20828602e-02, -1.19939147e-04, -7.25038638e-01]))"
