,r km,Lat,Long,Potencias,g1,g2,g3
0,7000.0,10.0,10.0,56966357.90258218,-1.3963858000717737,-0.2465151942033346,-8.020360764993256
1,7055.555555555556,10.0,10.0,56517439.405846834,-1.3744010241806266,-0.2426280105754751,-7.894410736664919
2,7111.111111111111,10.0,10.0,56075543.68885516,-1.352931987332866,-0.2388322729266626,-7.771405479718474
3,7166.666666666667,10.0,10.0,55640507.17367736,-1.3319626650178154,-0.235125126067979,-7.6512538727902175
4,7222.222222222223,10.0,10.0,55212171.3252892,-1.311477650980475,-0.23150382585393617,-7.533868293100654
5,7277.777777777777,10.0,10.0,54790382.458656475,-1.291462128785705,-0.22796573401122053,-7.41916445644197
6,7333.333333333333,10.0,10.0,54374991.554612175,-1.2719018448982828,-0.2245083132482272,-7.307061265641391
7,7388.888888888889,10.0,10.0,53965854.08406034,-1.2527830831870854,-0.22112912262794096,-7.197480666991026
8,7444.444444444444,10.0,10.0,53562829.840071626,-1.2340926407678319,-0.21782581318794234,-7.090347514168952
9,7500.0,10.0,10.0,53165782.77745974,-1.2158178051045956,-0.2145961237924468,-6.98558943920808
