,lat,long,alt
0,85.7427059067624,69.45828902934551,17085.358002912493
1,85.73824317132787,69.4622174537765,17085.35883243881
2,83.64723524317935,71.14574469083036,17085.701872842907
3,78.18657448179023,74.41765733181533,17086.293866394666
4,64.34640484396192,78.8926149428495,17086.929816643653
5,23.54313549539087,82.47499761964754,17087.271254064923
6,-31.595265991158804,78.96254761535371,17086.855848132087
7,-53.20804595506608,69.56159949569373,17085.190222750443
8,-61.96318211953472,57.4140136419244,17081.976814415877
9,-66.72157115699628,43.20900110734851,17077.473478455744
10,-69.9413778889567,27.130534960784768,17072.85084779614
11,-72.5683016047133,9.245968326211427,17070.2201015839
12,-75.17144848488412,-10.42588905979743,17071.90331017198
13,-78.46434119830842,-31.883141409461384,17078.800056495016
14,-84.58892784412691,-55.03792685557607,17088.581885804877
15,-66.19134788870217,-78.48413101577495,17095.54290342985
16,52.59402365424675,-70.08016279714668,17093.886833138633
17,67.0199822658519,-41.972045730222916,17083.49529405787
18,72.25111483841297,-11.56650531308549,17072.721873933202
19,76.6174899951759,20.651203256412284,17072.043153702933
20,84.39846742231887,54.57039677576357,17081.43734091196
